,Date,Open,High,Low,Close
293,2020-09-22,26.02,26.49,25.26,26.09
292,2020-09-21,24.5,25.91,24.1577,25.85
291,2020-09-18,25.23,26.3524,24.86,25.14
290,2020-09-17,25.7,26.23,24.52,24.69
289,2020-09-16,26.42,27.19,25.93,26.22
288,2020-09-15,25.38,27.0,25.23,26.42
287,2020-09-14,23.7,25.07,23.23,24.98
286,2020-09-11,23.59,23.93,23.06,23.26
285,2020-09-10,23.57,24.255,23.28,23.45
284,2020-09-09,22.33,24.08,22.33,23.6
283,2020-09-08,21.04,22.4,20.51,22.09
282,2020-09-04,22.12,22.37,18.82,21.44
281,2020-09-03,23.55,23.85,21.9101,22.35
280,2020-09-02,24.52,24.74,23.54,23.82
279,2020-09-01,23.58,23.9,23.1611,23.7
278,2020-08-31,24.5,24.6199,23.13,23.72
277,2020-08-28,24.77,25.07,24.35,24.54
276,2020-08-27,24.61,25.66,24.3,24.75
275,2020-08-26,24.94,26.11,23.89,24.2
274,2020-08-25,23.5,25.05,23.31,25.04
273,2020-08-24,24.05,24.25,23.39,23.54
272,2020-08-21,23.35,24.55,23.07,23.76
271,2020-08-20,24.08,24.35,23.24,23.35
270,2020-08-19,24.19,25.0,23.98,24.16
269,2020-08-18,25.09,25.15,23.43,24.3
268,2020-08-17,24.98,25.09,23.8002,24.4
267,2020-08-14,26.24,26.35,23.9,24.29
266,2020-08-13,27.17,28.535,27.05,28.2
265,2020-08-12,26.97,28.039,26.5616,26.98
264,2020-08-11,28.83,29.0,25.91,26.86
263,2020-08-10,27.85,29.61,27.82,28.59
262,2020-08-07,27.25,28.73,27.18,27.73
261,2020-08-06,27.45,28.6999,26.97,27.66
260,2020-08-05,26.44,27.72,25.25,27.5
259,2020-08-04,25.86,26.745,25.6501,26.55
258,2020-08-03,25.18,26.36,23.96,25.52
257,2020-07-31,24.58,25.67,24.09,25.01
256,2020-07-30,24.12,25.55,22.86,24.45
255,2020-07-29,23.6,24.13,23.3,23.74
254,2020-07-28,23.74,24.6,23.05,23.61
253,2020-07-27,23.22,24.7499,23.14,23.75
252,2020-07-24,21.81,22.59,21.01,22.3
251,2020-07-23,21.84,22.87,21.675,22.0
250,2020-07-22,21.05,22.26,21.01,21.84
249,2020-07-21,21.26,21.57,20.44,20.51
248,2020-07-20,20.95,22.48,20.36,20.79
247,2020-07-17,19.68,21.0,19.13,20.94
246,2020-07-16,19.18,20.12,17.5,19.72
245,2020-07-15,20.37,20.93,19.34,19.4
244,2020-07-14,18.71,19.69,18.71,19.51
243,2020-07-13,19.15,19.36,18.52,18.6
242,2020-07-10,19.31,19.35,18.27,19.03
241,2020-07-09,19.7,19.79,18.71,19.1
240,2020-07-08,18.62,19.79,18.21,19.26
239,2020-07-07,18.91,19.79,18.87,18.97
238,2020-07-06,18.39,19.27,18.22,18.82
237,2020-07-02,17.93,18.27,17.52,17.58
236,2020-07-01,17.81,18.46,17.01,17.51
235,2020-06-30,17.2,17.24,16.11,17.07
234,2020-06-29,18.02,18.5,15.89,17.55
233,2020-06-26,19.0,19.11,18.4,18.85
232,2020-06-25,19.47,19.47,18.82,19.11
231,2020-06-24,19.18,19.52,18.6001,19.21
230,2020-06-23,19.57,19.85,19.27,19.51
229,2020-06-22,19.9,20.01,19.12,19.4
228,2020-06-19,19.13,20.09,18.84,19.83
227,2020-06-18,17.57,19.13,17.47,18.96
226,2020-06-17,17.91,19.0027,17.4901,17.79
225,2020-06-16,18.81,19.03,17.84,17.95
224,2020-06-15,16.72,18.41,16.42,18.08
223,2020-06-12,15.0,16.46,14.4,16.36
222,2020-06-11,15.59,16.0,13.85,13.93
221,2020-06-10,16.33,16.67,16.005,16.42
220,2020-06-09,16.03,16.7,15.74,16.38
219,2020-06-08,16.32,16.7,15.87,16.37
218,2020-06-05,16.28,16.45,15.55,15.99
217,2020-06-04,16.34,16.48,15.42,15.68
216,2020-06-03,15.99,16.98,15.8601,16.4
215,2020-06-02,16.61,16.74,15.37,15.6
214,2020-06-01,15.19,16.58,14.9,16.44
213,2020-05-29,14.64,15.28,14.32,15.0
212,2020-05-28,14.93,15.301,14.29,14.74
211,2020-05-27,15.0,15.05,13.16,14.48
210,2020-05-26,14.64,14.9,14.18,14.64
209,2020-05-22,13.86,13.95,13.52,13.71
208,2020-05-21,14.03,14.1799,13.4556,13.57
207,2020-05-20,14.7,15.3897,13.84,14.07
206,2020-05-19,14.94,15.74,14.85,14.9
205,2020-05-18,14.87,15.78,14.22,15.75
204,2020-05-15,13.94,14.5,12.84,14.12
203,2020-05-14,12.47,14.14,12.3,13.9
202,2020-05-13,13.78,14.66,12.605,13.13
201,2020-05-12,13.72,14.89,13.071,13.94
200,2020-05-11,13.33,13.77,12.81,13.7
199,2020-05-08,12.99,14.15,12.81,13.94
198,2020-05-07,11.65,12.71,11.4729,12.71
197,2020-05-06,11.48,11.79,11.0,11.44
196,2020-05-05,11.87,12.1,11.29,11.33
195,2020-05-04,11.13,11.69,11.01,11.66
194,2020-05-01,12.31,12.59,11.18,11.53
193,2020-04-30,13.7,13.97,12.37,12.6
192,2020-04-29,12.67,14.25,12.445,13.92
191,2020-04-28,12.3,12.71,12.15,12.41
190,2020-04-27,11.39,12.22,11.39,12.09
189,2020-04-24,12.26,12.5,11.18,11.3
188,2020-04-23,11.64,12.5399,11.5991,12.3
187,2020-04-22,11.07,11.68,10.7,11.58
186,2020-04-21,10.95,11.07,9.98,10.69
185,2020-04-20,10.9,11.5,10.5813,11.12
184,2020-04-17,11.12,11.35,10.88,10.99
183,2020-04-16,12.01,12.1499,10.21,10.62
182,2020-04-15,12.51,12.61,11.125,11.71
181,2020-04-14,11.53,13.405,11.53,12.88
180,2020-04-13,11.91,12.18,10.51,11.32
179,2020-04-09,11.21,12.28,11.21,11.76
178,2020-04-08,10.73,11.33,10.46,11.16
177,2020-04-07,10.4,10.86,9.95,10.68
176,2020-04-06,9.51,9.72,9.06,9.45
175,2020-04-03,9.77,9.92,8.655,9.06
174,2020-04-02,9.82,10.11,9.45,9.94
173,2020-04-01,9.52,10.06,9.1515,9.8
172,2020-03-31,10.15,10.4,9.73,10.07
171,2020-03-30,10.83,10.83,9.82,10.14
170,2020-03-27,12.04,12.19,10.745,10.91
169,2020-03-26,11.97,13.6,11.93,12.61
168,2020-03-25,11.17,12.49,10.21,11.93
167,2020-03-24,10.51,11.92,10.04,10.9
166,2020-03-23,10.63,11.1702,7.59,10.03
165,2020-03-20,7.82,12.43,7.6725,10.17
164,2020-03-19,7.0,8.21,6.57,7.43
163,2020-03-18,8.87,8.88,6.12,7.0
162,2020-03-17,9.23,9.46,8.12,9.33
161,2020-03-16,10.15,10.49,8.41,9.02
160,2020-03-13,12.16,12.3,10.21,11.15
159,2020-03-12,14.5,15.14,11.5,11.5
158,2020-03-11,16.7,16.72,15.38,15.89
157,2020-03-10,17.36,18.395,16.4,17.03
156,2020-03-09,15.09,16.9,15.09,16.82
155,2020-03-06,18.69,19.01,17.87,18.09
154,2020-03-05,19.25,20.87,19.2,19.46
153,2020-03-04,19.66,20.085,19.25,19.7
152,2020-03-03,20.38,20.49,18.91,19.63
151,2020-03-02,17.3,20.32,17.3,20.31
150,2020-02-28,15.71,17.3,15.03,17.3
149,2020-02-27,17.35,17.75,16.73,16.73
148,2020-02-26,18.14,18.395,17.4191,17.67
147,2020-02-25,18.43,19.765,16.77,17.94
146,2020-02-24,17.5,18.1011,17.41,17.55
145,2020-02-21,19.04,19.06,17.56,17.86
144,2020-02-20,18.51,19.33,17.86,19.31
143,2020-02-19,16.5,18.265,16.5,18.04
142,2020-02-18,16.19,16.89,16.08,16.24
141,2020-02-14,16.01,16.28,15.49,16.21
140,2020-02-13,16.41,16.97,15.756,16.0
139,2020-02-12,15.25,16.3,14.99,16.28
138,2020-02-11,14.35,15.17,14.34,14.7
137,2020-02-10,14.14,14.601,14.03,14.2
136,2020-02-07,14.39,14.5,14.0,14.15
135,2020-02-06,14.08,14.82,13.98,14.26
134,2020-02-05,14.02,14.345,13.8902,13.97
133,2020-02-04,13.78,14.18,13.7127,14.0
132,2020-02-03,13.53,13.88,13.31,13.69
131,2020-01-31,13.74,13.92,13.43,13.58
130,2020-01-30,13.35,13.91,13.27,13.68
129,2020-01-29,13.25,13.32,13.11,13.31
128,2020-01-28,13.07,13.33,12.96,13.2
127,2020-01-27,13.19,13.35,12.85,12.91
126,2020-01-24,13.15,13.66,13.01,13.15
125,2020-01-23,12.91,13.4,12.8848,13.04
124,2020-01-22,12.75,12.91,12.5,12.89
123,2020-01-21,12.3,12.84,12.3,12.71
122,2020-01-17,11.74,12.4,11.61,12.32
121,2020-01-16,11.56,11.7892,11.43,11.67
120,2020-01-15,11.16,11.505,11.1371,11.39
119,2020-01-14,11.37,11.41,10.9896,11.09
118,2020-01-13,11.28,11.43,11.23,11.27
117,2020-01-10,11.43,11.45,11.1,11.18
116,2020-01-09,11.6,11.635,11.31,11.37
115,2020-01-08,11.48,11.65,11.45,11.53
114,2020-01-07,11.44,11.89,11.42,11.52
113,2020-01-06,11.75,11.8189,11.35,11.42
112,2020-01-03,11.35,11.84,11.3475,11.5
111,2020-01-02,11.27,11.72,11.175,11.29
110,2019-12-31,12.03,12.464,10.9464,11.16
109,2019-12-30,11.74,12.04,11.7,11.9
108,2019-12-27,11.79,11.86,11.371,11.63
107,2019-12-26,11.65,11.74,11.37,11.69
106,2019-12-24,11.36,11.71,11.07,11.58
105,2019-12-23,11.49,11.7,11.3007,11.42
104,2019-12-20,10.97,11.98,10.97,11.49
103,2019-12-19,11.0,11.18,10.85,10.98
102,2019-12-18,11.1,11.18,10.89,11.06
101,2019-12-17,10.3,11.22,10.3,11.05
100,2019-12-16,10.45,10.655,10.13,10.4
99,2019-12-13,9.78,10.39,9.64,10.28
98,2019-12-12,9.36,10.01,9.23,9.75
97,2019-12-11,9.6,9.6,9.2,9.31
96,2019-12-10,9.59,9.74,9.46,9.59
95,2019-12-09,9.68,9.68,9.58,9.66
94,2019-12-06,9.5,9.79,9.47,9.68
93,2019-12-05,9.68,9.68,9.41,9.52
92,2019-12-04,9.99,9.99,9.55,9.69
91,2019-12-03,9.91,9.945,9.74,9.9
90,2019-12-02,10.24,10.28,9.85,10.02
89,2019-11-29,10.32,10.55,10.14,10.28
88,2019-11-27,10.04,10.43,9.95,10.22
87,2019-11-26,10.01,10.07,9.85,9.97
86,2019-11-25,10.04,10.28,10.03,10.04
85,2019-11-22,10.47,10.51,9.97,10.13
84,2019-11-21,10.22,10.475,10.2,10.39
83,2019-11-20,10.53,10.66,10.15,10.24
82,2019-11-19,10.68,10.82,10.45,10.61
81,2019-11-18,10.8,10.8,10.32,10.62
80,2019-11-15,10.67,10.8,10.4823,10.72
79,2019-11-14,9.92,10.75,9.82,10.6
78,2019-11-13,10.51,10.58,9.61,9.89
77,2019-11-12,10.27,11.07,10.27,10.57
76,2019-11-11,9.65,10.24,9.62,10.17
75,2019-11-08,9.83,9.97,9.61,9.68
74,2019-11-07,10.42,10.48,9.655,9.85
73,2019-11-06,10.84,10.95,10.2,10.37
72,2019-11-05,11.12,11.35,10.9,10.94
71,2019-11-04,11.21,11.57,11.04,11.14
70,2019-11-01,10.62,11.1,10.57,11.06
69,2019-10-31,11.48,11.5,10.49,10.62
68,2019-10-30,11.03,11.12,10.87,10.99
67,2019-10-29,10.96,11.07,10.79,11.05
66,2019-10-28,10.95,11.31,10.83,10.97
65,2019-10-25,10.48,10.91,10.48,10.81
64,2019-10-24,10.42,10.755,10.15,10.55
63,2019-10-23,10.6,10.63,10.3801,10.51
62,2019-10-22,10.97,11.14,10.51,10.63
61,2019-10-21,10.73,11.18,10.69,10.94
60,2019-10-18,10.6,10.79,10.55,10.7
59,2019-10-17,10.25,10.68,10.25,10.63
58,2019-10-16,10.03,10.33,10.03,10.23
57,2019-10-15,10.17,10.27,9.97,10.04
56,2019-10-14,10.1,10.22,10.01,10.09
55,2019-10-11,10.07,10.3,9.92,10.16
54,2019-10-10,9.42,10.05,9.31,10.0
53,2019-10-09,9.67,9.67,9.31,9.44
52,2019-10-08,9.69,9.69,9.45,9.63
51,2019-10-07,9.7,9.85,9.42,9.78
50,2019-10-04,9.84,9.9278,9.48,9.58
49,2019-10-03,10.05,10.09,9.78,9.85
48,2019-10-02,10.11,10.32,9.83,10.05
47,2019-10-01,10.8,10.8,10.15,10.2
46,2019-09-30,10.88,10.96,10.61,10.75
45,2019-09-27,11.65,11.65,10.5006,10.8
44,2019-09-26,12.01,12.11,11.59,11.65
43,2019-09-25,11.66,12.28,11.66,12.03
42,2019-09-24,11.03,11.78,10.91,11.59
41,2019-09-23,10.5,11.25,10.45,11.01
40,2019-09-20,10.42,10.56,10.31,10.42
39,2019-09-19,10.41,10.56,10.33,10.36
38,2019-09-18,10.51,10.65,10.33,10.46
37,2019-09-17,10.19,10.7,10.01,10.44
36,2019-09-16,10.25,10.47,10.16,10.28
35,2019-09-13,10.18,10.34,10.1,10.26
34,2019-09-12,10.36,10.55,9.88,10.16
33,2019-09-11,10.28,10.75,10.09,10.31
32,2019-09-10,10.65,10.87,10.18,10.34
31,2019-09-09,11.53,11.53,10.51,10.68
30,2019-09-06,10.95,11.88,10.91,11.52
29,2019-09-05,10.93,11.32,10.5301,11.01
28,2019-09-04,10.86,11.0,10.61,10.83
27,2019-09-03,10.57,11.22,10.5525,10.76
26,2019-08-30,10.26,10.66,10.1304,10.56
25,2019-08-29,10.3,10.5,9.5497,10.32
24,2019-08-28,9.19,10.59,9.08,10.16
23,2019-08-27,8.61,9.24,8.3,9.15
22,2019-08-26,8.64,8.71,8.01,8.67
21,2019-08-23,9.42,9.6999,8.56,8.66
20,2019-08-22,10.09,10.2579,9.38,9.44
19,2019-08-21,10.45,10.46,9.8501,10.16
18,2019-08-20,11.51,11.76,10.0,10.36
17,2019-08-19,11.47,11.975,11.05,11.21
16,2019-08-16,10.89,11.47,10.71,11.04
15,2019-08-15,11.98,11.98,10.7,11.07
14,2019-08-14,11.91,12.0,11.55,11.87
13,2019-08-13,11.73,11.95,11.73,11.92
12,2019-08-12,11.7,11.77,11.22,11.73
11,2019-08-09,11.03,11.95,11.0,11.75
10,2019-08-08,11.13,11.4,11.0938,11.31
9,2019-08-07,10.95,11.39,10.565,11.04
8,2019-08-06,10.82,11.3,10.82,10.99
7,2019-08-05,11.45,11.5,10.61,10.81
6,2019-08-02,11.38,11.59,11.16,11.52
5,2019-08-01,11.3,11.75,11.03,11.39
4,2019-07-31,11.36,11.415,11.0132,11.25
3,2019-07-30,11.15,11.4,10.99,11.35
2,2019-07-29,11.29,11.65,10.98,11.2
1,2019-07-26,11.35,11.78,11.12,11.44
0,2019-07-25,11.05,11.64,10.51,11.25
